TJ                    X                   Y                   Z                  VX                  VY                  VZ                  FI                 PSI                GAMA
s                    m                   m                   m               m / s               m / s               m / s                  бу                  бу                  бу
6.4                 0.21403             242.51              -0.04643            0.61357             86.917              -0.023642           88.194              0                   0                   
6.5                 0.27989             251.29              -0.048837           0.70478             88.743              -0.024492           88.066              0                   0                   
6.6                 0.35521             260.26              -0.051329           0.80272             90.581              -0.025359           87.938              0                   0                   
6.7                 0.44066             269.41              -0.053909           0.90747             92.431              -0.026243           87.808              0                   0                   
6.8                 0.53693             278.74              -0.056579           1.0191              94.293              -0.027144           87.678              0                   0                   
6.9                 0.64472             288.27              -0.059339           1.1378              96.166              -0.028061           87.547              0                   0                   
7                   0.76472             297.98              -0.062191           1.2635              98.052              -0.028996           87.415              0                   0                   
7.1                 0.89766             307.88              -0.065138           1.3964              99.949              -0.029948           87.283              0                   0                   
7.2                 1.0443              317.97              -0.068181           1.5366              101.86              -0.030916           87.15               0                   0                   
7.3                 1.2052              328.25              -0.071322           1.6841              103.78              -0.031902           87.017              0                   0                   
7.4                 1.3813              338.72              -0.074562           1.839               105.71              -0.032905           86.883              0                   0                   
7.5                 1.5733              349.39              -0.077904           2.0014              107.65              -0.033926           86.749              0                   0                   
7.6                 1.7818              360.25              -0.081348           2.1713              109.61              -0.034963           86.615              0                   0                   
7.7                 2.0078              371.31              -0.084897           2.3486              111.57              -0.036018           86.48               0                   0                   
7.8                 2.2518              382.57              -0.088552           2.533               113.53              -0.03709            86.345              0                   0                   
7.9                 2.5146              394.02              -0.092315           2.7246              115.5               -0.038179           86.211              0                   0                   
8                   2.797               405.67              -0.096189           2.9233              117.47              -0.039285           86.076              0                   0                   
8.1                 3.0995              417.51              -0.10017            3.1293              119.44              -0.040408           85.942              0                   0                   
8.2                 3.4231              429.56              -0.10427            3.3424              121.42              -0.041548           85.807              0                   0                   
8.3                 3.7682              441.8               -0.10848            3.5627              123.39              -0.042705           85.673              0                   0                   
8.4                 4.1358              454.23              -0.11281            3.7902              125.37              -0.043879           85.539              0                   0                   
8.5                 4.5265              466.87              -0.11726            4.0249              127.36              -0.04507            85.405              0                   0                   
8.6                 4.9411              479.71              -0.12183            4.2668              129.34              -0.046277           85.271              0                   0                   
8.7                 5.3801              492.74              -0.12652            4.516               131.33              -0.047502           85.137              0                   0                   
8.8                 5.8445              505.97              -0.13133            4.7724              133.32              -0.048743           85.004              0                   0                   
8.9                 6.3348              519.4               -0.13626            5.0359              135.31              -0.05               84.871              0                   0                   
9                   6.8519              533.03              -0.14133            5.3068              137.31              -0.051275           84.738              0                   0                   
9.1                 7.3964              546.87              -0.14652            5.5848              139.31              -0.052565           84.606              0                   0                   
9.2                 7.9691              560.9               -0.15184            5.87                141.31              -0.053872           84.474              0                   0                   
9.3                 8.5707              575.13              -0.1573             6.1624              143.31              -0.055196           84.342              0                   0                   
9.4                 9.2018              589.56              -0.16288            6.4621              145.32              -0.056536           84.211              0                   0                   
9.5                 9.8633              604.19              -0.1686             6.7689              147.33              -0.057892           84.08               0                   0                   
9.6                 10.556              619.03              -0.17446            7.0829              149.34              -0.059265           83.95               0                   0                   
9.7                 11.28               634.06              -0.18046            7.4041              151.35              -0.060653           83.82               0                   0                   
9.8                 12.037              649.3               -0.18659            7.7324              153.37              -0.062058           83.69               0                   0                   
9.9                 12.827              664.73              -0.19287            8.0679              155.39              -0.063479           83.561              0                   0                   
10                  13.651              680.37              -0.19929            8.4106              157.41              -0.064916           83.433              0                   0                   
10.1                14.509              696.22              -0.20585            8.7604              159.43              -0.066369           83.305              0                   0                   
10.2                15.403              712.26              -0.21256            9.1173              161.46              -0.067838           83.177              0                   0                   
10.3                16.333              728.51              -0.21942            9.4813              163.49              -0.069322           83.05               0                   0                   
10.4                17.3                744.96              -0.22643            9.8524              165.52              -0.070823           82.923              0                   0                   
10.5                18.304              761.61              -0.23359            10.231              167.55              -0.072339           82.797              0                   0                   
10.6                19.346              778.47              -0.2409             10.616              169.58              -0.073871           82.672              0                   0                   
10.7                20.427              795.53              -0.24836            11.008              171.62              -0.075419           82.547              0                   0                   
10.8                21.548              812.79              -0.25598            11.407              173.66              -0.076982           82.423              0                   0                   
10.9                22.709              830.26              -0.26376            11.814              175.7               -0.078561           82.299              0                   0                   
11                  23.911              847.93              -0.27169            12.227              177.75              -0.080155           82.175              0                   0                   
11.1                25.154              865.81              -0.27979            12.647              179.79              -0.081765           82.053              0                   0                   
11.2                26.44               883.89              -0.28805            13.075              181.84              -0.08339            81.931              0                   0                   
11.3                27.77               902.18              -0.29647            13.509              183.89              -0.08503            81.809              0                   0                   
11.4                29.142              920.67              -0.30505            13.95               185.94              -0.086686           81.688              0                   0                   
11.5                30.56               939.37              -0.3138             14.398              188                 -0.088357           81.568              0                   0                   
11.6                32.022              958.27              -0.32272            14.853              190.06              -0.090043           81.448              0                   0                   
11.7                33.531              977.38              -0.33181            15.315              192.12              -0.091744           81.329              0                   0                   
11.8                35.086              996.69              -0.34107            15.784              194.18              -0.093461           81.21               0                   0                   
11.9                36.688              1016.2              -0.35051            16.259              196.24              -0.095192           81.092              0                   0                   
12                  38.338              1035.9              -0.36011            16.741              198.31              -0.096938           80.975              0                   0                   
12.1                40.036              1055.9              -0.36989            17.23               200.37              -0.098699           80.858              0                   0                   
12.2                41.784              1076                -0.37985            17.726              202.44              -0.10048            80.742              0                   0                   
12.3                43.582              1096.4              -0.38999            18.229              204.52              -0.10227            80.626              0                   0                   
12.4                45.43               1116.9              -0.40031            18.738              206.59              -0.10407            80.512              0                   0                   
12.5                47.329              1137.7              -0.41081            19.254              208.67              -0.10589            80.397              0                   0                   
12.6                49.281              1158.7              -0.42149            19.777              210.74              -0.10773            80.284              0                   0                   
12.7                51.285              1179.8              -0.43235            20.306              212.82              -0.10958            80.17               0                   0                   
12.8                53.342              1201.2              -0.4434             20.842              214.91              -0.11144            80.058              0                   0                   
12.9                55.454              1222.8              -0.45464            21.385              216.99              -0.11332            79.946              0                   0                   
13                  57.62               1244.6              -0.46607            21.934              219.08              -0.11521            79.835              0                   0                   
13.1                59.841              1266.6              -0.47768            22.49               221.17              -0.11712            79.724              0                   0                   
13.2                62.118              1288.8              -0.48949            23.052              223.26              -0.11904            79.614              0                   0                   
13.3                64.451              1311.3              -0.50149            23.621              225.35              -0.12098            79.505              0                   0                   
13.4                66.842              1333.9              -0.51369            24.196              227.44              -0.12293            79.396              0                   0                   
13.5                69.291              1356.8              -0.52608            24.778              229.54              -0.12489            79.288              0                   0                   
13.6                71.798              1379.8              -0.53866            25.366              231.64              -0.12687            79.181              0                   0                   
13.7                74.364              1403.1              -0.55145            25.961              233.74              -0.12886            79.074              0                   0                   
13.8                76.99               1426.6              -0.56444            26.562              235.84              -0.13087            78.967              0                   0                   
13.9                79.677              1450.3              -0.57763            27.17               237.94              -0.13289            78.862              0                   0                   
14                  82.425              1474.2              -0.59102            27.784              240.05              -0.13492            78.757              0                   0                   
14.1                85.234              1498.3              -0.60461            28.404              242.16              -0.13697            78.652              0                   0                   
14.2                88.106              1522.6              -0.61841            29.03               244.27              -0.13903            78.548              0                   0                   
14.3                91.04               1547.1              -0.63242            29.663              246.38              -0.14111            78.445              0                   0                   
14.4                94.038              1571.9              -0.64663            30.302              248.49              -0.1432             78.343              0                   0                   
14.5                97.101              1596.8              -0.66106            30.947              250.61              -0.1453             78.241              0                   0                   
14.6                100.23              1622                -0.67569            31.599              252.72              -0.14742            78.139              0                   0                   
14.7                103.42              1647.4              -0.69054            32.257              254.84              -0.14955            78.038              0                   0                   
14.8                106.68              1673                -0.7056             32.921              256.96              -0.15169            77.938              0                   0                   
14.9                110.01              1698.8              -0.72088            33.591              259.09              -0.15385            77.839              0                   0                   
15                  113.4               1724.8              -0.73638            34.267              261.21              -0.15602            77.74               0                   0                   
15.1                116.86              1751                -0.75209            34.949              263.34              -0.15821            77.641              0                   0                   
15.2                120.39              1777.4              -0.76802            35.638              265.47              -0.1604             77.543              0                   0                   
15.3                123.99              1804.1              -0.78417            36.332              267.6               -0.16262            77.446              0                   0                   
15.4                127.65              1831                -0.80054            37.033              269.73              -0.16484            77.35               0                   0                   
15.5                131.39              1858                -0.81714            37.739              271.86              -0.16708            77.253              0                   0                   
15.6                135.2               1885.3              -0.83396            38.452              274                 -0.16933            77.158              0                   0                   
15.7                139.08              1912.8              -0.851              39.17               276.14              -0.17159            77.063              0                   0                   
15.8                143.04              1940.6              -0.86827            39.895              278.27              -0.17387            76.969              0                   0                   
15.9                147.06              1968.5              -0.88578            40.625              280.42              -0.17616            76.875              0                   0                   
16                  151.16              1996.6              -0.90351            41.361              282.56              -0.17846            76.782              0                   0                   
16.1                155.34              2025                -0.92147            42.104              284.7               -0.18077            76.689              0                   0                   
16.2                159.58              2053.6              -0.93966            42.852              286.85              -0.1831             76.597              0                   0                   
16.3                163.91              2082.4              -0.95809            43.606              289                 -0.18544            76.506              0                   0                   
16.4                168.3               2111.4              -0.97675            44.365              291.15              -0.1878             76.415              0                   0                   
16.5                172.78              2140.6              -0.99565            45.131              293.3               -0.19016            76.324              0                   0                   
16.6                177.33              2170                -1.0148             45.902              295.46              -0.19254            76.235              0                   0                   
16.7                181.96              2199.7              -1.0342             46.679              297.61              -0.19494            76.145              0                   0                   
16.8                186.67              2229.6              -1.0538             47.462              299.77              -0.19734            76.057              0                   0                   
16.9                191.45              2259.7              -1.0736             48.25               301.93              -0.19976            75.969              0                   0                   
17                  196.32              2290                -1.0937             49.045              304.09              -0.20219            75.881              0                   0                   
17.1                201.26              2320.5              -1.1141             49.844              306.25              -0.20463            75.794              0                   0                   
17.2                206.29              2351.2              -1.1347             50.65               308.42              -0.20708            75.707              0                   0                   
17.3                211.39              2382.2              -1.1555             51.461              310.58              -0.20955            75.621              0                   0                   
17.4                216.58              2413.3              -1.1766             52.278              312.75              -0.21203            75.536              0                   0                   
17.5                221.85              2444.7              -1.1979             53.1                314.92              -0.21452            75.451              0                   0                   
17.6                227.2               2476.3              -1.2195             53.928              317.09              -0.21702            75.367              0                   0                   
17.7                232.63              2508.1              -1.2413             54.761              319.27              -0.21954            75.283              0                   0                   
17.8                238.15              2540.2              -1.2634             55.6                321.44              -0.22207            75.199              0                   0                   
17.9                243.75              2572.4              -1.2857             56.445              323.62              -0.22461            75.116              0                   0                   
18                  249.44              2604.9              -1.3083             57.295              325.8               -0.22716            75.034              0                   0                   
18.1                255.21              2637.6              -1.3311             58.15               327.98              -0.22973            74.952              0                   0                   
18.2                261.07              2670.5              -1.3542             59.011              330.17              -0.2323             74.871              0                   0                   
18.3                267.01              2703.6              -1.3776             59.877              332.35              -0.23489            74.79               0                   0                   
18.4                273.05              2737                -1.4012             60.749              334.54              -0.23749            74.71               0                   0                   
18.5                279.16              2770.5              -1.4251             61.619              336.7               -0.2401             74.63               0                   0                   
18.6                285.37              2804.3              -1.4492             62.484              338.83              -0.24272            74.552              0                   0                   
18.7                291.66              2838.3              -1.4736             63.345              340.93              -0.24536            74.474              0                   0                   
18.8                298.04              2872.5              -1.4983             64.202              342.99              -0.24801            74.398              0                   0                   
18.9                304.5               2906.9              -1.5232             65.054              345.02              -0.25066            74.322              0                   0                   
19                  311.05              2941.5              -1.5484             65.902              347.02              -0.25333            74.248              0                   0                   
